"Sample"	"Group"	"Lake"	"Date"	"Site"	"Depth"	"Fraction"	"Season"	"Origin"
"162"	"Z14.061.F"	"Inland"	"Independence"	"Fa14"	"Top"	"Top"	"Free"	"Fall"	"Water"
"163"	"Z14.061.P"	"Inland"	"Independence"	"Fa14"	"Top"	"Top"	"Particle"	"Fall"	"Water"
"164"	"Z14.063.F"	"Inland"	"Independence"	"Fa14"	"Bottom"	"Bottom"	"Free"	"Fall"	"Water"
"165"	"Z14.063.P"	"Inland"	"Independence"	"Fa14"	"Bottom"	"Bottom"	"Particle"	"Fall"	"Water"
"166"	"Z15.069.F"	"Inland"	"Bruin"	"Sp15"	"Top"	"Top"	"Free"	"Spring"	"Water"
"167"	"Z15.069.P"	"Inland"	"Bruin"	"Sp15"	"Top"	"Top"	"Particle"	"Spring"	"Water"
"168"	"Z15.071.F"	"Inland"	"Bruin"	"Sp15"	"Bottom"	"Bottom"	"Free"	"Spring"	"Water"
"169"	"Z15.071.P"	"Inland"	"Bruin"	"Sp15"	"Bottom"	"Bottom"	"Particle"	"Spring"	"Water"
"170"	"Z15.073.F"	"Inland"	"Whitmore"	"Sp15"	"Top"	"Top"	"Free"	"Spring"	"Water"
"171"	"Z15.075.F"	"Inland"	"Whitmore"	"Sp15"	"Top"	"Top"	"Free"	"Spring"	"Water"
"172"	"Z15.077.F"	"Inland"	"Independence"	"Sp15"	"Top"	"Top"	"Free"	"Spring"	"Water"
"173"	"Z15.079.F"	"Inland"	"Independence"	"Sp15"	"Bottom"	"Bottom"	"Free"	"Spring"	"Water"
"174"	"Z14.001.F"	"Inland"	"Bishop"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"175"	"Z14.001.P"	"Inland"	"Bishop"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"176"	"Z14.002.F"	"Inland"	"Bishop"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"177"	"Z14.002.P"	"Inland"	"Bishop"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"178"	"Z14.003.F"	"Inland"	"Bishop"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"179"	"Z14.003.P"	"Inland"	"Bishop"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"180"	"Z14.004.F"	"Inland"	"Bishop"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"181"	"Z14.004.P"	"Inland"	"Bishop"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"182"	"Z14.005.F"	"Inland"	"Woodland"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
